,Unnamed: 0,model_year,mpg_mean,origin
0,0,70,25.2,europe
1,1,70,25.5,japan
2,2,70,15.272727272727273,usa
3,3,71,28.75,europe
4,4,71,29.5,japan
5,5,71,18.1,usa
6,6,72,22.0,europe
7,7,72,24.2,japan
8,8,72,16.27777777777778,usa
9,9,73,24.0,europe
10,10,73,20.0,japan
11,11,73,15.034482758620689,usa
12,12,74,27.0,europe
13,13,74,29.33333333333333,japan
14,14,74,18.33333333333333,usa
15,15,75,24.5,europe
16,16,75,27.5,japan
17,17,75,17.55,usa
18,18,76,24.25,europe
19,19,76,28.0,japan
20,20,76,19.431818181818183,usa
21,21,77,29.25,europe
22,22,77,27.41666666666667,japan
23,23,77,20.722222222222218,usa
24,24,78,24.95,europe
25,25,78,29.6875,japan
26,26,78,21.772727272727273,usa
27,27,79,30.45,europe
28,28,79,32.95,japan
29,29,79,23.47826086956522,usa
30,30,80,37.28888888888889,europe
31,31,80,35.4,japan
32,32,80,25.914285714285718,usa
33,33,81,31.575,europe
34,34,81,32.95833333333333,japan
35,35,81,27.530769230769234,usa
36,36,82,40.0,europe
37,37,82,34.888888888888886,japan
38,38,82,29.45,usa
